#,Keyword,Bucket,Intent,Est_MSV_band_claude,Likely_competition,AI_Overview_likely,DataForSEO_MSV,DataForSEO_competition,SERP_top3_live,Content_angle,Target_route,Page_status,Primary_CTA,Internal_links,Schema_additions,Status,Notes
11,monthly rental apartments mayfair,A2 monthly,commercial,30-150,medium,N,,,Monthly stay math in Fitzrovia & Mayfair: from-£/month vs Airbnb monthly vs traditional rental. Show 4-week vs 8-week price step-down. Real Staylio rates.,/guides/monthly-rental-fitzrovia-mayfair,NEW,WhatsApp Ali +44 7375 621453,"/locations/fitzrovia-mayfair, /apartments-vs-hotels, 3x listings","Article, FAQPage, Offer",CANDIDATE · PENDING_DATAFORSEO,,
12,monthly rental apartments farringdon,A2 monthly,commercial,30-150,medium,N,,,Monthly stay math in Barbican & Farringdon: from-£/month vs Airbnb monthly vs traditional rental. Show 4-week vs 8-week price step-down. Real Staylio rates.,/guides/monthly-rental-barbican-farringdon,NEW,WhatsApp Ali +44 7375 621453,"/locations/barbican-farringdon, /apartments-vs-hotels, 3x listings","Article, FAQPage, Offer",CANDIDATE · PENDING_DATAFORSEO,,
13,monthly rental apartments borough london,A2 monthly,commercial,30-150,medium,N,,,Monthly stay math in Borough & Pimlico: from-£/month vs Airbnb monthly vs traditional rental. Show 4-week vs 8-week price step-down. Real Staylio rates.,/guides/monthly-rental-borough-pimlico,NEW,WhatsApp Ali +44 7375 621453,"/locations/borough-pimlico, /apartments-vs-hotels, 3x listings","Article, FAQPage, Offer",CANDIDATE · PENDING_DATAFORSEO,,
14,monthly rental apartments maida vale,A2 monthly,commercial,30-150,medium,N,,,Monthly stay math in Little Venice & Maida Vale: from-£/month vs Airbnb monthly vs traditional rental. Show 4-week vs 8-week price step-down. Real Staylio rates.,/guides/monthly-rental-little-venice-maida-vale,NEW,WhatsApp Ali +44 7375 621453,"/locations/little-venice-maida-vale, /apartments-vs-hotels, 3x listings","Article, FAQPage, Offer",CANDIDATE · PENDING_DATAFORSEO,,
15,furnished apartments marylebone short term,A3 furnished,commercial,100-400,medium-high,N,,,"Relocation-grade furnished apartments in Regent's Park & Marylebone. What's included (linen, kitchen kit, smart lock, council tax), photo walkthrough of 3 representative units, how soon you can move in.",/guides/furnished-regents-park-marylebone,NEW,WhatsApp Ali +44 7375 621453,"/locations/regents-park-marylebone, /corporate, 3x listings","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
16,furnished apartments shoreditch,A3 furnished,commercial,100-400,medium-high,N,,,"Relocation-grade furnished apartments in Old Street & Shoreditch. What's included (linen, kitchen kit, smart lock, council tax), photo walkthrough of 3 representative units, how soon you can move in.",/guides/furnished-old-street-shoreditch,NEW,WhatsApp Ali +44 7375 621453,"/locations/old-street-shoreditch, /corporate, 3x listings","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
17,furnished apartments kensington london,A3 furnished,commercial,100-400,medium-high,N,,,"Relocation-grade furnished apartments in Kensington & Hammersmith. What's included (linen, kitchen kit, smart lock, council tax), photo walkthrough of 3 representative units, how soon you can move in.",/guides/furnished-kensington-hammersmith,NEW,WhatsApp Ali +44 7375 621453,"/locations/kensington-hammersmith, /corporate, 3x listings","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
18,furnished apartments mayfair short term,A3 furnished,commercial,100-400,medium-high,N,,,"Relocation-grade furnished apartments in Fitzrovia & Mayfair. What's included (linen, kitchen kit, smart lock, council tax), photo walkthrough of 3 representative units, how soon you can move in.",/guides/furnished-fitzrovia-mayfair,NEW,WhatsApp Ali +44 7375 621453,"/locations/fitzrovia-mayfair, /corporate, 3x listings","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
19,furnished apartments farringdon,A3 furnished,commercial,100-400,medium-high,N,,,"Relocation-grade furnished apartments in Barbican & Farringdon. What's included (linen, kitchen kit, smart lock, council tax), photo walkthrough of 3 representative units, how soon you can move in.",/guides/furnished-barbican-farringdon,NEW,WhatsApp Ali +44 7375 621453,"/locations/barbican-farringdon, /corporate, 3x listings","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
20,furnished apartments pimlico london,A3 furnished,commercial,100-400,medium-high,N,,,"Relocation-grade furnished apartments in Borough & Pimlico. What's included (linen, kitchen kit, smart lock, council tax), photo walkthrough of 3 representative units, how soon you can move in.",/guides/furnished-borough-pimlico,NEW,WhatsApp Ali +44 7375 621453,"/locations/borough-pimlico, /corporate, 3x listings","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
21,furnished apartments maida vale,A3 furnished,commercial,100-400,medium-high,N,,,"Relocation-grade furnished apartments in Little Venice & Maida Vale. What's included (linen, kitchen kit, smart lock, council tax), photo walkthrough of 3 representative units, how soon you can move in.",/guides/furnished-little-venice-maida-vale,NEW,WhatsApp Ali +44 7375 621453,"/locations/little-venice-maida-vale, /corporate, 3x listings","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
22,family apartments marylebone london,A4 family,commercial,30-120,medium,N,,,"Family-friendly stays in Regent's Park & Marylebone: 2-bed config, cot/highchair availability, walking distance to playgrounds + museums, school-half-term-friendly cancellation. Show 2-bed inventory only.",/guides/family-regents-park-marylebone,NEW,WhatsApp Ali +44 7375 621453,"/locations/regents-park-marylebone, /apartments?bedrooms=2, /faq#family","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
23,family apartments shoreditch,A4 family,commercial,30-120,medium,N,,,"Family-friendly stays in Old Street & Shoreditch: 2-bed config, cot/highchair availability, walking distance to playgrounds + museums, school-half-term-friendly cancellation. Show 2-bed inventory only.",/guides/family-old-street-shoreditch,NEW,WhatsApp Ali +44 7375 621453,"/locations/old-street-shoreditch, /apartments?bedrooms=2, /faq#family","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
24,family apartments kensington london,A4 family,commercial,30-120,medium,N,,,"Family-friendly stays in Kensington & Hammersmith: 2-bed config, cot/highchair availability, walking distance to playgrounds + museums, school-half-term-friendly cancellation. Show 2-bed inventory only.",/guides/family-kensington-hammersmith,NEW,WhatsApp Ali +44 7375 621453,"/locations/kensington-hammersmith, /apartments?bedrooms=2, /faq#family","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
25,family apartments mayfair,A4 family,commercial,30-120,medium,N,,,"Family-friendly stays in Fitzrovia & Mayfair: 2-bed config, cot/highchair availability, walking distance to playgrounds + museums, school-half-term-friendly cancellation. Show 2-bed inventory only.",/guides/family-fitzrovia-mayfair,NEW,WhatsApp Ali +44 7375 621453,"/locations/fitzrovia-mayfair, /apartments?bedrooms=2, /faq#family","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
26,family apartments near barbican,A4 family,commercial,30-120,medium,N,,,"Family-friendly stays in Barbican & Farringdon: 2-bed config, cot/highchair availability, walking distance to playgrounds + museums, school-half-term-friendly cancellation. Show 2-bed inventory only.",/guides/family-barbican-farringdon,NEW,WhatsApp Ali +44 7375 621453,"/locations/barbican-farringdon, /apartments?bedrooms=2, /faq#family","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
27,2 bedroom apartment borough london,A4 family,commercial,30-120,medium,N,,,"Family-friendly stays in Borough & Pimlico: 2-bed config, cot/highchair availability, walking distance to playgrounds + museums, school-half-term-friendly cancellation. Show 2-bed inventory only.",/guides/family-borough-pimlico,NEW,WhatsApp Ali +44 7375 621453,"/locations/borough-pimlico, /apartments?bedrooms=2, /faq#family","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
28,2 bedroom apartment little venice,A4 family,commercial,30-120,medium,N,,,"Family-friendly stays in Little Venice & Maida Vale: 2-bed config, cot/highchair availability, walking distance to playgrounds + museums, school-half-term-friendly cancellation. Show 2-bed inventory only.",/guides/family-little-venice-maida-vale,NEW,WhatsApp Ali +44 7375 621453,"/locations/little-venice-maida-vale, /apartments?bedrooms=2, /faq#family","Article, FAQPage, Product",CANDIDATE · PENDING_DATAFORSEO,,
29,corporate serviced apartments marylebone,A5 corporate×area,commercial,30-150,medium,N,,,"Corporate stays in Regent's Park & Marylebone: PO billing, monthly invoicing, dedicated AM, Wi-Fi speed receipts, work-from-home set-up, who else has stayed (anonymised sectors).",/guides/corporate-stays-regents-park-marylebone,NEW (cross-link from /corporate),WhatsApp Ali +44 7375 621453,"/corporate, /locations/regents-park-marylebone, 2x business-friendly listings","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
30,corporate apartments shoreditch tech companies,A5 corporate×area,commercial,30-150,medium,N,,,"Corporate stays in Old Street & Shoreditch — TECH FIRST: founder/engineer rotational stays, near Google/Meta/Visa offices, post-funding-round leadership relocations.",/guides/corporate-stays-old-street-shoreditch,NEW (cross-link from /corporate),WhatsApp Ali +44 7375 621453,"/corporate, /locations/old-street-shoreditch, 2x business-friendly listings","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
31,corporate apartments kensington,A5 corporate×area,commercial,30-150,medium,N,,,"Corporate stays in Kensington & Hammersmith — embassy + healthcare + pharma audience. Imperial Healthcare Trust, embassy guests, Imperial College visiting fellows.",/guides/corporate-stays-kensington-hammersmith,NEW (cross-link from /corporate),WhatsApp Ali +44 7375 621453,"/corporate, /locations/kensington-hammersmith, 2x business-friendly listings","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
32,corporate apartments mayfair,A5 corporate×area,commercial,30-150,medium,N,,,"Corporate stays in Fitzrovia & Mayfair — PE/VC/luxury-brand executive audience. Walk to Berkeley Square, Bond Street, Charlotte Street meetings.",/guides/corporate-stays-fitzrovia-mayfair,NEW (cross-link from /corporate),WhatsApp Ali +44 7375 621453,"/corporate, /locations/fitzrovia-mayfair, 2x business-friendly listings","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
33,corporate apartments farringdon,A5 corporate×area,commercial,30-150,medium,N,,,Corporate stays in Barbican & Farringdon — Elizabeth-line City + Canary Wharf reach. Direct lines to Heathrow + Canary Wharf. Big-4 audit / consulting rotation audience.,/guides/corporate-stays-barbican-farringdon,NEW (cross-link from /corporate),WhatsApp Ali +44 7375 621453,"/corporate, /locations/barbican-farringdon, 2x business-friendly listings","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
34,corporate apartments pimlico london,A5 corporate×area,commercial,30-150,medium,N,,,"Corporate stays in Borough & Pimlico — government + civil-service + SW1 audience. Walk to Westminster, near Lambeth Palace.",/guides/corporate-stays-borough-pimlico,NEW (cross-link from /corporate),WhatsApp Ali +44 7375 621453,"/corporate, /locations/borough-pimlico, 2x business-friendly listings","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
35,corporate apartments near paddington,A5 corporate×area,commercial,30-150,medium,N,,,"Corporate stays near Paddington — Heathrow Express, fly-in/fly-out audience. Maida Vale residential calm + 4-stop Bakerloo to West End.",/guides/corporate-stays-little-venice-maida-vale,NEW (cross-link from /corporate),WhatsApp Ali +44 7375 621453,"/corporate, /locations/little-venice-maida-vale, 2x business-friendly listings","Article, FAQPage, Service",CANDIDATE · PENDING_DATAFORSEO,,
36,apartments near regents park london,A6 landmark,navigational-commercial,50-300,high,Y,,,"Walking-time matrix from each Staylio Regent's Park & Marylebone listing to Regent's Park. 5-15 min walk = real proof. Tube alternatives, taxi cost.",/guides/near-regents-park,NEW,WhatsApp Ali +44 7375 621453,"/locations/regents-park-marylebone, 3x nearest listings, /faq#transport","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,Cross-link from Little Venice + Maida Vale pages too — also walkable.,
37,apartments near hyde park london,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from each Staylio Kensington & Hammersmith listing to Hyde Park / Kensington Gardens. Cross-link Marylebone (Cumberland gate walkable).,/guides/near-hyde-park,NEW,WhatsApp Ali +44 7375 621453,"/locations/kensington-hammersmith, /locations/regents-park-marylebone, 3x nearest listings","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
38,apartments near borough market,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Borough & Pimlico listings to Borough Market (5-min walk for 163 New Kent Rd).,/guides/near-borough-market,NEW,WhatsApp Ali +44 7375 621453,"/locations/borough-pimlico, 3x nearest listings, /faq#transport","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
39,apartments near imperial college london,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Kensington & Hammersmith listings to Imperial College + Imperial Healthcare Trust. Visiting-fellow / pharma audience.,/guides/near-imperial-college,NEW,WhatsApp Ali +44 7375 621453,"/locations/kensington-hammersmith, 3x nearest listings, /corporate","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
40,apartments near barbican centre,A6 landmark,navigational-commercial,50-300,high,Y,,,"Walking-time matrix from Staylio Barbican & Farringdon listings to Barbican Centre. Arts/culture audience (concerts, theatre, cinema, Sadler's Wells).",/guides/near-barbican-centre,NEW,WhatsApp Ali +44 7375 621453,"/locations/barbican-farringdon, 3x nearest listings, /faq#transport","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
41,apartments near liverpool street station,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Old Street & Shoreditch listings to Liverpool Street (Elizabeth/Stansted Express). Strong fit for fly-in business.,/guides/near-liverpool-street,NEW,WhatsApp Ali +44 7375 621453,"/locations/old-street-shoreditch, 3x nearest listings, /corporate","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
42,apartments near marylebone station,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Regent's Park & Marylebone listings to Marylebone station (Chiltern Rail to Oxford/Birmingham).,/guides/near-marylebone-station,NEW,WhatsApp Ali +44 7375 621453,"/locations/regents-park-marylebone, 3x nearest listings, /faq#transport","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
43,apartments near paddington station,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Little Venice & Maida Vale listings to Paddington (Heathrow Express 15min).,/guides/near-paddington,NEW,WhatsApp Ali +44 7375 621453,"/locations/little-venice-maida-vale, 3x nearest listings, /faq#transport","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
44,apartments near london bridge station,A6 landmark,navigational-commercial,50-300,high,Y,,,"Walking-time matrix from Staylio Borough & Pimlico listings to London Bridge station (Jubilee/Northern, NR Brighton/Gatwick).",/guides/near-london-bridge,NEW,WhatsApp Ali +44 7375 621453,"/locations/borough-pimlico, 3x nearest listings, /faq#transport","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
45,apartments near old street roundabout,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Old Street & Shoreditch listings to Old Street / Silicon Roundabout. Founder/engineer audience.,/guides/near-old-street,NEW,WhatsApp Ali +44 7375 621453,"/locations/old-street-shoreditch, 3x nearest listings, /corporate","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
46,apartments near oxford circus,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Regent's Park & Marylebone listings to Oxford Circus + Bond Street. 10-min walk from most of the Marylebone portfolio.,/guides/near-oxford-circus,NEW,WhatsApp Ali +44 7375 621453,"/locations/regents-park-marylebone, /locations/fitzrovia-mayfair, 3x nearest listings","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
47,apartments near tate modern,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Borough & Pimlico listings to Tate Modern / South Bank. Cultural-stay audience.,/guides/near-tate-modern,NEW,WhatsApp Ali +44 7375 621453,"/locations/borough-pimlico, 3x nearest listings, /faq#transport","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
48,apartments near west end theatres,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Fitzrovia & Mayfair listings to West End theatres. Theatre-trip audience.,/guides/near-west-end-theatres,NEW,WhatsApp Ali +44 7375 621453,"/locations/fitzrovia-mayfair, /locations/regents-park-marylebone, 3x nearest listings","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
49,apartments near canary wharf serviced,A6 landmark,navigational-commercial,50-300,high,Y,,,Honest framing: 'no apartments AT Canary Wharf' — but Elizabeth line from Farringdon/London Bridge = 8-12 min direct. Show the real commute matrix.,/guides/near-canary-wharf,NEW,WhatsApp Ali +44 7375 621453,"/locations/barbican-farringdon, /locations/borough-pimlico, 3x nearest listings, /corporate","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,Decision: do we pursue this at all? No portfolio at Canary Wharf — risk of disappointing searcher.,
50,apartments near city of london,A6 landmark,navigational-commercial,50-300,high,Y,,,Walking-time matrix from Staylio Barbican & Farringdon listings to Bank / City of London. Direct Elizabeth-line catch-up for City finance audience.,/guides/near-city-of-london,NEW,WhatsApp Ali +44 7375 621453,"/locations/barbican-farringdon, /locations/old-street-shoreditch, 3x nearest listings, /corporate","Article, FAQPage, Place, GeoCoordinates",CANDIDATE · PENDING_DATAFORSEO,,
51,are serviced apartments cheaper than hotels,B question-intent,informational,500-2000,medium,Y,,,"Real cost comparison for 3 stay lengths (3 nights, 1 week, 1 month) at matched London 4-star vs Staylio. Honest: hotels win at 2 nights, SA wins at 5+. Show the actual maths.",/guides/serviced-apartments-vs-hotels-cost,NEW (deep dive — sits under existing /apartments-vs-hotels),WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /corporate, /faq, 2x listings","FAQPage, Article, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,HIGH PRIORITY — strong AI Overviews bait,
52,are serviced apartments cheaper than hotels long term,B question-intent,informational,100-500,medium,Y,,,Long-term (30+ nights) cost analysis. Bills-included math destroys hotel BAR. Council-tax exclusion. Loyalty pricing. Concrete example: Marylebone 30-night Staylio vs hotel.,/guides/serviced-apartments-vs-hotels-long-term,NEW,WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /corporate, /faq, 2x listings","FAQPage, Article, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
53,what is a serviced apartment,B question-intent,informational,1000-5000,high,Y,,,AI Overviews bait. Schema.org definition + Staylio's 1-paragraph version + 3-photo example unit + 8-bullet 'what's included'. Embeds well as featured snippet.,/guides/what-is-a-serviced-apartment,NEW,WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /faq, /about, 2x listings","FAQPage, Article, DefinedTerm",CANDIDATE · PENDING_DATAFORSEO,HIGH PRIORITY — could be #1 AI Overviews target,
54,difference between serviced apartment and hotel,B question-intent,informational,200-800,medium,Y,,,Side-by-side table: kitchen / laundry / housekeeping cadence / bills / minimum stay / breakfast / front desk / dog policy. Cite Booking.com / Sonder / Airbnb for comparison rigour.,/guides/serviced-apartment-vs-hotel-difference,MERGE into existing /apartments-vs-hotels (expand to 800 words),WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /corporate, /faq, 2x listings","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
55,difference between airbnb and serviced apartment,B question-intent,informational,300-1000,medium,Y,,,"Airbnb-vs-SA: licensed-operator status, professional cleaning, business invoicing, Section 21 freedom. Honest where Airbnb wins (true entire-home, host charm).",/guides/airbnb-vs-serviced-apartment,NEW,WhatsApp Ali +44 7375 621453,"/apartments-vs-hotels, /corporate, /faq, 2x listings","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,,
56,best area to stay in london for first time visitor,B question-intent,informational,1000-4000,high,Y,,,"Mini-guide using Staylio's 7 areas as the framework. Honest: 'first-timer' best in Marylebone or Borough (walkable, central, not Mayfair-priced). Soft pitch.",/guides/best-area-to-stay-london-first-time,NEW,WhatsApp Ali +44 7375 621453,"/locations, 3x /locations/[slug], 2x listings","FAQPage, Article, ItemList",CANDIDATE · PENDING_DATAFORSEO,HIGH PRIORITY — strongest AI Overviews bait,
57,best area to stay in london for business,B question-intent,informational,500-1500,medium,Y,,,Business-stay area picker. Tech meeting? Shoreditch / Farringdon. Finance? City via Farringdon or Barbican. Pharma / hospitals? Kensington. Maps to Staylio's listing zones.,/guides/best-area-to-stay-london-business,NEW,WhatsApp Ali +44 7375 621453,"/corporate, 3x /locations/[slug], 2x listings","FAQPage, Article, ItemList",CANDIDATE · PENDING_DATAFORSEO,,
58,best area to stay in london with family,B question-intent,informational,300-1000,medium,Y,,,Family pick: Kensington (museums + Hyde Park) or Marylebone (Regent's Park + Zoo). 2-bed inventory map. Stroller-friendly tube stations.,/guides/best-area-to-stay-london-family,NEW,WhatsApp Ali +44 7375 621453,"/locations/kensington-hammersmith, /locations/regents-park-marylebone, /apartments?bedrooms=2, /faq#family","FAQPage, Article, ItemList",CANDIDATE · PENDING_DATAFORSEO,,
59,best area to stay in london near tube,B question-intent,informational,100-500,medium,Y,,,Tube-line picker. Every Staylio area has 5min walk to a station — show which lines + Elizabeth-line wins. Cross-references all 7 location pages.,/guides/best-area-to-stay-london-near-tube,NEW,WhatsApp Ali +44 7375 621453,"/locations, 7x /locations/[slug], /faq#transport","FAQPage, Article, ItemList",CANDIDATE · PENDING_DATAFORSEO,,
60,pet friendly serviced apartments london,B question-intent,commercial,100-500,medium,N,,,"DECISION GATE: Staylio pet policy unclear in current FAQ — needs the operator confirmation before writing. If yes-some-units, list which. If no, skip this keyword.",/guides/pet-friendly-apartments-london,BLOCKED (needs policy decision),WhatsApp Ali +44 7375 621453,"/apartments?pets=1, /faq#pets","FAQPage, Article",CANDIDATE · BLOCKED,BLOCKED on the operator pet policy decision,
61,can you bring a dog to a serviced apartment,B question-intent,informational,50-200,low,Y,,,"Same blocker as above. If yes-some: schema-friendly Q&A 'Yes, in select Staylio units — currently 2 in Borough, 1 in Marylebone — £40 cleaning supplement'.",/faq/dogs,BLOCKED (needs policy decision),WhatsApp Ali +44 7375 621453,"/apartments?pets=1, /faq","FAQPage, Article",CANDIDATE · BLOCKED,BLOCKED on the operator pet policy decision,
62,do serviced apartments include bills,B question-intent,informational,100-500,low,Y,,,Staylio's full bills-included statement (already in llms.txt — promote to its own page for AI Overviews). What 'all bills' actually covers (elec/water/heat/Wi-Fi/council tax).,/guides/are-bills-included-serviced-apartments,NEW,WhatsApp Ali +44 7375 621453,"/faq#bills, /apartments-vs-hotels, /corporate, 2x listings","FAQPage, Article",CANDIDATE · PENDING_DATAFORSEO,EASY WIN — content already in llms.txt,
